"","Timestamp","Age","Gender","self_employed","treatment","work_interfere","tech_company","seek_help","anonymity","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments","PersonID","CompanyID","CountryID"
"34","8/27/14 11:39",42,"Male","No","Yes","Sometimes","Yes","Yes","Yes","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No","I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.",4181,32,46
"35","8/27/14 11:40",40,"female","No","Yes","Sometimes","Yes","No","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No",NA,2908,877,46
"36","8/27/14 11:41",27,"Male","No","Yes","Rarely","Yes","No","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No",NA,1127,117,46
"37","8/27/14 11:41",29,"Male","No","No","Rarely","Yes","No","Don't know","Yes","Maybe","Some of them","No","No","No","Don't know","No",NA,3030,1149,8
"38","8/27/14 11:41",38,"Male","No","No",NA,"Yes","No","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","No",NA,2478,507,35
"39","8/27/14 11:42",50,"M","No","No",NA,"Yes","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No",NA,2975,178,46
"40","8/27/14 11:42",35,"M","No","Yes","Rarely","Yes","Yes","Yes","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA,2581,1079,46
"41","8/27/14 11:42",24,"Male","No","Yes","Sometimes","Yes","No","Don't know","Maybe","Maybe","Some of them","No","No","Yes","No","Yes",NA,1082,832,45
"42","8/27/14 11:42",35,"Male","No","No",NA,"Yes","Yes","Don't know","Yes","Yes","Some of them","No","No","Maybe","Don't know","No",NA,3076,70,46
"43","8/27/14 11:43",27,"Male","No","Yes","Sometimes","Yes","No","Yes","Maybe","No","Some of them","No","No","No","Yes","No",NA,1635,540,8
"44","8/27/14 11:43",18,"Male","No","No","Often","Yes","No","Don't know","Yes","Maybe","No","Some of them","No","No","No","No",NA,1811,476,29
"45","8/27/14 11:43",30,"Male","No","Yes","Sometimes","Yes","No","Don't know","No","No","No","No","No","Maybe","Don't know","No",NA,4858,364,46
"46","8/27/14 11:43",38,"Female","No","Yes","Sometimes","Yes","Yes","Yes","No","No","Some of them","Yes","No","No","Yes","No","Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.",4822,96,46
"47","8/27/14 11:43",28,"Male","No","No",NA,"Yes","No","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","Don't know","No",NA,4006,988,45
"48","8/27/14 11:43",34,"Male","No","No",NA,"Yes","No","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No",NA,1301,668,46
"49","8/27/14 11:43",26,"m","Yes","No","Sometimes","Yes","No","Don't know","No","No","Yes","Yes","No","No","Yes","No",NA,3039,1241,8
"50","8/27/14 11:44",30,"male","No","Yes","Rarely","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No","I just started a new job last week hence a lot of don't know's",4978,838,46
"51","8/27/14 11:44",22,"M","No","Yes","Often","Yes","No","Yes","Maybe","No","No","No","No","Maybe","Don't know","No",NA,2726,61,46
"52","8/27/14 11:45",33,"Male","No","No",NA,"Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No",NA,1006,261,46
"53","8/27/14 11:45",31,"M","No","No",NA,"Yes","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","Maybe","Maybe","Don't know","No",NA,2719,655,46
"54","8/27/14 11:45",32,"Male","No","No","Never","Yes","No","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No",NA,2977,601,46
"55","8/27/14 11:46",28,"M","No","No",NA,"Yes","No","Don't know","No","No","No","No","No","Maybe","Don't know","No",NA,3642,54,43
"56","8/27/14 11:46",27,"Male-ish","No","Yes","Rarely","Yes","No","Yes","Maybe","No","No","No","No","No","Don't know","No",NA,3741,462,46
"57","8/27/14 11:46",32,"maile","No","No",NA,"Yes","No","Don't know","No","No","Yes","Yes","No","No","Yes","No",NA,4087,270,46
"58","8/27/14 11:47",24,"Male","No","Yes","Sometimes","Yes","No","Don't know","No","Maybe","Some of them","Yes","Yes","Yes","No","No",NA,1548,450,46
"59","8/27/14 11:47",26,"Male","No","No",NA,"No","No","Yes","No","No","Some of them","Yes","Maybe","Yes","Don't know","No",NA,1643,916,46
"60","8/27/14 11:47",33,"male","No","Yes","Often","Yes","No","No","Yes","No","No","No","No","Maybe","Don't know","No","In addition to my own mental health issues I've known several coworkers that may be suffering and I don't know how to tell them I empathize and that I want to help.",3994,619,8
"61","8/27/14 11:48",44,"Male","No","Yes","Sometimes","No","Don't know","Don't know","Yes","Maybe","Some of them","No","No","Maybe","Don't know","Yes",NA,2748,118,46
"62","8/27/14 11:49",26,"Female","No","Yes","Sometimes","Yes","Yes","Yes","No","No","Yes","Yes","Maybe","Yes","Yes","No",NA,3480,385,34
"63","8/27/14 11:50",27,"Male","No","No","Never","Yes","Yes","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA,1411,858,45
"64","8/27/14 11:50",26,"Male","No","No",NA,"Yes","No","Don't know","Yes","No","No","No","No","No","No","Yes",NA,4290,486,16
"65","8/27/14 11:50",35,"male","No","No","Sometimes","Yes","No","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No",NA,2314,1060,8
"66","8/27/14 11:51",40,"Male","No","No","Sometimes","Yes","Yes","Don't know","Yes","Maybe","Some of them","No","No","No","No","Yes",NA,1785,6,46
"67","8/27/14 11:51",23,"Female","No","Yes","Often","Yes","No","Don't know","No","No","Some of them","Yes","No","Maybe","Yes","No","Thanks for doing this research.",3733,250,1
"68","8/27/14 11:52",36,"M","No","No","Sometimes","Yes","Yes","Don't know","Maybe","No","Some of them","Some of them","Maybe","Yes","Yes","No",NA,1652,340,46
"69","8/27/14 11:52",31,"Female","No","No",NA,"No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",NA,1290,31,46
"70","8/27/14 11:52",34,"Male","Yes","No","Rarely","Yes","No","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No",NA,1150,205,46
"71","8/27/14 11:53",28,"m","No","No","Never","Yes","No","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No",NA,4325,1078,16
"72","8/27/14 11:53",34,"male","No","No","Never","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA,2468,633,8
"73","8/27/14 11:54",23,"Trans-female","No","No","Rarely","Yes","No","Yes","Maybe","No","Yes","Yes","No","No","No","No",NA,4460,1141,46
"74","8/27/14 11:56",38,"Male","No","No",NA,"Yes","Don't know","Yes","No","No","Some of them","Yes","Maybe","Yes","Yes","No",NA,1354,143,45
"75","8/27/14 11:56",33,"Male","No","No","Never","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","Yes","No",NA,2947,393,46
"76","8/27/14 11:57",19,"Male","No","No",NA,"Yes","No","No","Yes","No","No","No","No","Maybe","No","No",NA,3961,1225,45
"77","8/27/14 11:57",25,"Male","No","No",NA,"Yes","Yes","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No",NA,3378,14,46
"78","8/27/14 11:57",31,"Male","Yes","No","Sometimes","Yes","No","Yes","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA,3073,658,46
"79","8/27/14 11:59",32,"Male","No","Yes","Sometimes","Yes","No","Don't know","Yes","No","Some of them","No","No","Yes","No","No",NA,4570,170,46
"80","8/27/14 12:00",28,"m","No","No","Never","Yes","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Yes","Yes","No",NA,4866,339,18
"81","8/27/14 12:01",38,"Male","No","No","Sometimes","Yes","Yes","Don't know","No","No","Yes","Some of them","Maybe","Maybe","Yes","No",NA,2096,156,46
"82","8/27/14 12:02",23,"Male","No","No","Never","Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA,1484,931,45
"83","8/27/14 12:02",30,"male","No","No","Never","No","No","Don't know","No","No","Some of them","Yes","No","No","No","No",NA,1683,888,8
"84","8/27/14 12:03",27,"Cis Female","Yes","Yes","Often","Yes","Yes","Yes","Maybe","Maybe","Some of them","Yes","No","Maybe","Yes","No",NA,4453,1013,46
"85","8/27/14 12:05",33,"Male","No","No","Never","Yes","No","Don't know","Yes","No","No","No","No","Maybe","No","No",NA,1488,260,46
"86","8/27/14 12:05",31,"Male","No","No",NA,"Yes","No","Don't know","No","No","Some of them","Yes","Maybe","Maybe","No","No",NA,2170,1052,46
"87","8/27/14 12:07",39,"Male","Yes","Yes","Often","Yes","No","Don't know","Maybe","No","Some of them","No","No","Maybe","No","Yes",NA,1644,98,45
"88","8/27/14 12:10",34,"female","No","Yes","Rarely","Yes","Don't know","Don't know","Yes","Maybe","Some of them","Some of them","No","No","Don't know","No",NA,1284,67,46
"89","8/27/14 12:11",29,"F","No","Yes","Sometimes","Yes","No","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","Yes",NA,1932,547,46
"90","8/27/14 12:11",32,"M","No","No",NA,"Yes","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No",NA,3803,759,46
"91","8/27/14 12:12",31,"Male","No","No","Never","Yes","Yes","Yes","No","No","Some of them","Yes","No","No","Yes","No",NA,3522,1223,46
"92","8/27/14 12:13",40,"male","No","Yes","Sometimes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","No","No",NA,1296,555,46
"93","8/27/14 12:14",34,"Male","No","No",NA,"Yes","No","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",NA,1675,636,46
"94","8/27/14 12:15",18,"something kinda male?","No","No",NA,"Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Don't know","No","In Russia we have mandatory medical insurance. Every employer must pay 3.6% of every employee's salary to the insurance fund like a tax. Everyone gets free healthcare at public clinics and hospitals. Some types of healthcare including mental health are still funded from the government budget but that doesn't matter it's still FREE!However this is Russia :D I don't know much about what actually happens in mental hospitals here except that a lot of young people with male in their passports use these to avoid military draft and doctors seem to help them.",1569,86,37
"95","8/27/14 12:15",25,"F","No","Yes","Sometimes","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","Don't know","No",NA,2531,854,8
"96","8/27/14 12:15",29,"male","No","No","Never","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","No","No",NA,1905,512,46
"97","8/27/14 12:16",24,"Male","No","No","Rarely","Yes","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Maybe","Don't know","No",NA,3192,193,46
"98","8/27/14 12:17",31,"male","No","Yes","Sometimes","Yes","No","Don't know","No","No","Some of them","Yes","Maybe","Yes","No","No",NA,3278,769,27
"99","8/27/14 12:18",33,"Cis Male","No","Yes","Sometimes","Yes","No","Don't know","Maybe","No","Some of them","No","No","Maybe","No","No",NA,1385,703,46
"100","8/27/14 12:18",30,"M","No","Yes","Often","Yes","No","Yes","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA,1620,498,46
"101","8/27/14 12:18",26,"female","No","Yes","Sometimes","No","No","No","Yes","No","No","No","No","Maybe","No","Yes","In my previous workplace which had mental health protections policies and access to counsellors my Director went so far as to say to me in somewhat casual conversation A woman was murdered across the street. At best though she was bipolar and at worst - who knowsI have bipolar disorder. I have zero faith that an organization with policies in place could appropriately handle mental health. I have even less faith that a workplace without the policies in place could appropriately handle mental health. I can only imagine it's worse in full tech environments.",4596,562,8
"102","8/27/14 12:18",44,"Female","No","No","Never","Yes","Don't know","Don't know","Maybe","Maybe","No","Some of them","No","No","Don't know","No",NA,4351,886,46
"103","8/27/14 12:19",25,"Male","No","No",NA,"Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA,4537,277,46
"104","8/27/14 12:20",33,"Male","No","Yes","Sometimes","Yes","Yes","Yes","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA,1449,889,46
"105","8/27/14 12:22",29,"Male","No","No","Never","Yes","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA,1138,901,46
"106","8/27/14 12:23",35,"Male","No","No","Rarely","Yes","No","Yes","No","No","Some of them","Yes","No","No","Don't know","No",NA,3282,194,46
"107","8/27/14 12:23",35,"M","No","Yes","Sometimes","Yes","No","Don't know","No","No","Some of them","Yes","No","Maybe","No","No","I've seen negative consequences towards mental health conditions in previous workplaces.Working remote is empowering in this way.",2223,1164,46
"108","8/27/14 12:25",28,"Male","No","Yes","Rarely","Yes","No","No","Maybe","No","Yes","Yes","No","No","Don't know","Yes",NA,3168,265,6
"109","8/27/14 12:28",34,"m","No","No","Never","Yes","No","Don't know","Maybe","No","No","No","No","No","Don't know","No",NA,2380,982,46
"110","8/27/14 12:28",32,"Male","No","Yes","Sometimes","Yes","Yes","Yes","Maybe","No","Some of them","Yes","No","Maybe","Yes","No",NA,1557,62,46
"111","8/27/14 12:29",22,"Male","No","Yes","Sometimes","Yes","Don't know","Yes","Yes","No","No","No","No","Yes","No","No",NA,3206,460,46
"112","8/27/14 12:31",28,"Male","No","Yes","Sometimes","Yes","Yes","Yes","No","No","Some of them","Some of them","No","Maybe","Yes","No",NA,2299,506,46
"113","8/27/14 12:31",45,"male","No","Yes","Rarely","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No",NA,1468,1080,46
"114","8/27/14 12:31",32,"Male","No","No","Never","Yes","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","No","Don't know","No",NA,1994,855,46
"115","8/27/14 12:31",28,"male","No","No",NA,"Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Don't know","No",NA,2373,343,46
"116","8/27/14 12:31",26,"Male","No","No","Never","Yes","Don't know","Don't know","No","No","Some of them","Some of them","No","No","Don't know","Yes",NA,4230,942,45
"117","8/27/14 12:31",21,"Male","Yes","No","Often","No","No","Yes","Yes","No","Some of them","Yes","No","Maybe","No","No",NA,4987,344,45
"118","8/27/14 12:31",27,"Male","No","No","Rarely","No","Yes","Yes","Maybe","No","Some of them","Yes","No","No","Don't know","No",NA,4651,243,8
"119","8/27/14 12:31",18,"Male","No","Yes","Rarely","Yes","No","Yes","No","No","Some of them","No","No","No","Don't know","No",NA,4258,1253,46
"120","8/27/14 12:32",35,"Male","No","No",NA,"Yes","Don't know","Don't know","No","No","Some of them","Yes","Maybe","Maybe","Don't know","No",NA,1578,896,46
"121","8/27/14 12:32",29,"Male","No","No","Never","Yes","Yes","Don't know","Yes","Yes","No","No","No","No","Don't know","No",NA,3292,1051,46
"122","8/27/14 12:33",25,"Male","No","No",NA,"Yes","No","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA,4196,1061,46
"123","8/27/14 12:33",33,"Male","No","Yes","Sometimes","Yes","Don't know","Yes","No","No","Yes","Yes","No","Maybe","Yes","No",NA,3451,906,46
"124","8/27/14 12:33",36,"Male","No","No","Often","Yes","No","Yes","Maybe","No","No","No","No","No","Don't know","No",NA,2822,358,46
"125","8/27/14 12:33",27,"Male","No","Yes","Never","No","No","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","Yes",NA,2003,970,8
"126","8/27/14 12:34",27,"Male","No","No","Never","Yes","Yes","Yes","Yes","No","Some of them","No","No","Yes","Don't know","No",NA,1095,791,46
"127","8/27/14 12:34",27,"Male","No","No",NA,"Yes","No","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No",NA,2274,401,45
"128","8/27/14 12:34",32,"M","No","Yes","Rarely","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Don't know","No",NA,1871,1158,46
"129","8/27/14 12:34",31,"Male","No","No","Sometimes","Yes","No","Don't know","Maybe","Maybe","No","No","No","No","Yes","No",NA,4397,609,45
"130","8/27/14 12:34",19,"male","No","Yes","Sometimes","Yes","No","Don't know","Yes","Yes","Some of them","No","No","No","Don't know","No",NA,3623,879,39
"131","8/27/14 12:34",33,"Male","No","Yes","Sometimes","Yes","No","Don't know","Maybe","No","Yes","Some of them","No","Yes","No","No",NA,3035,1071,46
"132","8/27/14 12:35",32,"male","No","No","Rarely","Yes","No","Don't know","Maybe","No","Yes","Some of them","No","Yes","Don't know","No",NA,3158,753,46
"133","8/27/14 12:36",27,"Male","No","No","Never","Yes","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Don't know","No",NA,1957,608,46
"134","8/27/14 12:36",38,"Male","No","No",NA,"Yes","No","Yes","No","No","Yes","Yes","Maybe","Yes","No","No",NA,1028,656,11
"135","8/27/14 12:36",24,"Male","No","Yes","Never","Yes","No","Don't know","No","No","Some of them","Yes","Maybe","Yes","Don't know","No",NA,4669,882,8
"136","8/27/14 12:37",39,"M","No","No","Never","No","No","Don't know","Yes","Maybe","No","No","No","No","Don't know","No",NA,3780,198,45
"137","8/27/14 12:37",28,"Male","No","No","Never","Yes","No","Yes","No","No","Some of them","Yes","Maybe","Maybe","Yes","No",NA,2079,52,45
"138","8/27/14 12:37",39,"Male","No","Yes","Often","Yes","No","Don't know","No","No","Yes","Yes","No","No","Don't know","No",NA,3873,1229,46
"139","8/27/14 12:37",29,"Female","No","No",NA,"Yes","Don't know","Don't know","Maybe","No","Some of them","No","No","No","Don't know","No",NA,4363,864,46
"140","8/27/14 12:37",22,"m","No","No",NA,"Yes","No","Don't know","No","No","Some of them","Some of them","No","No","Don't know","No",NA,4929,620,2
"141","8/27/14 12:38",38,"Male","No","Yes","Sometimes","Yes","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","No",NA,3777,1169,46
"142","8/27/14 12:38",37,"Male","Yes","Yes","Sometimes","No","Yes","Yes","Yes","Yes","Some of them","No","No","Maybe","Yes","No","I'm not a permanent employee so do not get they benefits they get.My client is extremely supportive of permanent staff with mental health issues.",1924,1178,45
"143","8/27/14 12:38",35,"M","No","No","Never","No","Don't know","Don't know","Yes","No","Some of them","No","No","Maybe","Don't know","No",NA,3499,87,46
"144","8/27/14 12:39",-29,"Male","No","No",NA,"No","Yes","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA,4764,247,46
"145","8/27/14 12:39",30,"Female","No","No",NA,"Yes","Don't know","Don't know","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","No","I'd be more worried about coworkers and workplace culture than the employer--they're probably legally obligated to do some things but reputation among people I work with is something else. For instance I've heard people make snide remarks about men taking paternity leave I don't want to know what they'd say about mental health leave.",2457,495,46
"146","8/27/14 12:39",37,"Male","No","Yes","Rarely","No","Yes","Don't know","Maybe","Maybe","Some of them","Yes","Maybe","Maybe","Don't know","No",NA,2789,750,46
"147","8/27/14 12:39",24,"M","No","No","Never","Yes","No","Yes","Maybe","Maybe","No","Some of them","No","No","Don't know","No",NA,4131,72,45
"148","8/27/14 12:39",23,"Male","No","No","Sometimes","No","No","No","Yes","Yes","No","No","No","No","No","No",NA,2905,1200,46
"149","8/27/14 12:40",30,"male","No","Yes","Rarely","Yes","Yes","Don't know","Yes","No","Some of them","No","No","No","No","Yes",NA,1193,313,22
"150","8/27/14 12:40",29,"Female","No","No",NA,"Yes","Don't know","Don't know","Maybe","No","No","Some of them","No","Maybe","Don't know","No",NA,1503,663,46
"151","8/27/14 12:40",19,"Male","Yes","No",NA,"Yes","Yes","Yes","Maybe","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",NA,1621,499,8
"152","8/27/14 12:40",32,"male","No","No","Never","Yes","No","Don't know","No","No","Some of them","Some of them","No","Maybe","No","No",NA,1344,303,46
"153","8/27/14 12:41",28,"male","No","No","Rarely","Yes","No","Don't know","No","No","Yes","Yes","Maybe","Yes","Yes","No",NA,2553,770,34
"154","8/27/14 12:41",36,"Male","No","No","Never","Yes","Don't know","Don't know","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",NA,1245,240,46
"155","8/27/14 12:41",37,"Male","No","Yes","Rarely","No","Yes","Yes","Yes","Maybe","Some of them","No","No","Yes","No","Yes",NA,3162,22,45
"156","8/27/14 12:42",25,"Male","No","Yes","Sometimes","No","Don't know","Don't know","Maybe","No","Some of them","Some of them","No","Maybe","No","No",NA,2294,325,46
"157","8/27/14 12:42",27,"Male","No","Yes","Sometimes","Yes","Don't know","Don't know","No","No","No","Some of them","No","Maybe","Don't know","No",NA,3078,1094,46
"158","8/27/14 12:43",26,"male","No","No","Often","No","No","Don't know","Yes","Maybe","Some of them","Yes","No","Maybe","No","No",NA,4510,496,46
"159","8/27/14 12:43",27,"male","No","Yes","Rarely","Yes","No","Don't know","Maybe","No","Some of them","Yes","No","No","Don't know","Yes","Had a co-worker disappear from work for a few weeks and then come back to let everyone know he was bipolar. His responsibilities and schedule were adjusted to accommodate but he got worse didn't show up didn't work etc and was eventually let go.It was tough because on the one hand he was struggling with some mental health issues but on the other hand he went through a period of months where he wasn't performing.",2486,1236,46
"160","8/27/14 12:43",25,"Male","No","Yes","Sometimes","Yes","No","Don't know","Maybe","No","Some of them","No","No","No","Don't know","Yes","Family history of depression.  Currently dealing with depression and anxiety as well as drug addition.Employer provides & pays premiums on insurance which covers therapy and prescriptions.  Employer allows work-from-home and unlimited PTO which makes episodes easier to control.I don't speak of my problems to anyone at work except for the people that I consider friends and even then I don't go into great detail.I would never bring up a mental health issue during an interview for fear of discrimination and rejection (and therefore greater depression).  One co-worker had serious anxiety problems and would not inform his team of episodes and was eventually let go for being unresponsive.",4689,1218,46
"161","8/27/14 12:43",36,"Male","No","Yes","Sometimes","No","Yes","Yes","Maybe","Maybe","Some of them","Some of them","No","Maybe","Don't know","Yes","I feel that my employer and colleagues have created my mental health issue. Additionally I have contributed to this by staying in the same job with the same employer for 10+ years.",2477,345,45
"162","8/27/14 12:44",25,"F","No","Yes","Sometimes","Yes","No","Don't know","Yes","Yes","Some of them","Some of them","No","No","Don't know","No",NA,4615,433,46
